iter	Passed	Remaining
0	3	6316
1	6	6271
2	8	5846
3	11	5640
4	16	6386
5	18	6188
6	20	5973
7	23	5887
8	26	5858
9	31	6171
10	33	6095
11	36	6010
12	38	5952
13	41	5887
14	43	5811
15	47	5828
16	50	5916
17	53	5865
18	55	5820
19	58	5778
20	60	5737
21	63	5704
22	66	5676
23	68	5642
24	71	5617
25	73	5606
26	76	5601
27	79	5595
28	83	5648
29	87	5754
30	90	5764
31	93	5769
32	99	5930
33	103	5961
34	106	5990
35	110	6008
36	113	6012
37	115	5988
38	118	5954
39	120	5924
40	123	5904
41	126	5882
42	128	5858
43	131	5831
44	133	5816
45	136	5798
46	139	5801
47	142	5800
48	145	5794
49	147	5771
50	150	5751
51	153	5734
52	158	5810
53	160	5791
54	163	5768
55	165	5752
56	168	5733
57	171	5733
58	173	5721
59	176	5716
60	179	5708
61	182	5705
62	185	5711
63	189	5730
64	193	5761
65	196	5751
66	199	5744
67	201	5736
68	204	5730
69	207	5716
70	209	5699
71	214	5735
72	216	5722
73	219	5709
74	221	5688
75	224	5676
76	226	5659
77	229	5651
78	231	5637
79	234	5626
80	236	5611
81	239	5601
82	241	5589
83	244	5576
84	246	5564
85	249	5551
86	251	5538
87	254	5531
88	257	5524
89	259	5512
90	262	5501
91	264	5492
92	267	5483
93	269	5474
94	272	5467
95	275	5461
96	277	5451
97	281	5466
98	285	5481
99	288	5472
100	290	5462
101	293	5455
102	296	5451
103	298	5450
104	301	5442
105	303	5431
106	306	5421
107	309	5413
108	311	5403
109	314	5396
110	316	5389
111	319	5383
112	322	5377
113	324	5371
114	327	5361
115	329	5354
116	332	5346
117	334	5341
118	337	5337
119	340	5330
120	342	5324
121	345	5321
122	348	5316
123	350	5308
124	356	5344
125	360	5354
126	363	5356
127	365	5348
128	368	5349
129	371	5342
130	374	5336
131	376	5328
132	379	5329
133	382	5323
134	385	5321
135	387	5316
136	390	5309
137	393	5305
138	395	5298
139	398	5292
140	400	5285
141	403	5282
142	406	5278
143	409	5272
144	411	5264
145	416	5294
146	419	5293
147	422	5288
148	425	5286
149	428	5285
150	431	5281
151	434	5279
152	437	5276
153	439	5273
154	442	5267
155	445	5263
156	447	5257
157	450	5253
158	453	5248
159	456	5245
160	459	5243
161	461	5240
162	464	5236
163	467	5233
164	470	5229
165	474	5238
166	476	5234
167	480	5237
168	484	5253
169	490	5277
170	493	5283
171	497	5287
172	500	5289
173	504	5297
174	508	5304
175	511	5303
176	514	5299
177	517	5299
178	520	5299
179	523	5296
180	526	5294
181	529	5292
182	532	5291
183	536	5292
184	538	5287
185	541	5284
186	544	5281
187	547	5277
188	550	5273
189	555	5290
190	558	5288
191	561	5284
192	563	5278
193	566	5274
194	569	5268
195	571	5262
196	574	5256
197	576	5251
198	580	5249
199	582	5244
200	585	5238
201	587	5232
202	590	5226
203	593	5220
204	595	5214
205	598	5209
206	600	5204
207	603	5200
208	606	5195
209	611	5209
210	614	5208
211	617	5212
212	622	5222
213	626	5229
214	629	5225
215	632	5223
216	635	5221
217	638	5217
218	641	5215
219	644	5210
220	646	5206
221	649	5201
222	652	5197
223	655	5193
224	657	5189
225	660	5184
226	663	5181
227	666	5177
228	669	5174
229	671	5170
230	674	5166
231	677	5163
232	681	5169
233	687	5187
234	690	5188
235	694	5189
236	698	5196
237	702	5198
238	705	5198
239	709	5200
240	712	5198
241	715	5194
242	717	5189
243	720	5184
244	723	5179
245	725	5175
246	728	5170
247	731	5166
248	734	5163
249	736	5158
250	739	5155
251	742	5150
252	745	5146
253	748	5142
254	753	5154
255	756	5150
256	759	5148
257	761	5144
258	765	5142
259	767	5138
260	771	5137
261	774	5140
262	779	5146
263	782	5144
264	786	5146
265	789	5149
266	793	5151
267	797	5155
268	801	5159
269	804	5157
270	808	5157
271	811	5156
272	814	5154
273	820	5171
274	824	5172
275	827	5170
276	831	5169
277	833	5164
278	836	5160
279	839	5156
280	842	5151
281	844	5146
282	847	5143
283	850	5138
284	853	5134
285	856	5130
286	858	5126
287	861	5122
288	864	5117
289	867	5113
290	870	5109
291	872	5105
292	878	5118
293	881	5114
294	884	5110
295	887	5106
296	890	5103
297	893	5100
298	896	5097
299	899	5094
300	902	5091
301	905	5088
302	907	5085
303	910	5082
304	913	5078
305	916	5075
306	919	5072
307	922	5069
308	925	5067
309	929	5065
310	932	5062
311	935	5062
312	939	5064
313	943	5063
314	946	5065
315	952	5077
316	956	5077
317	959	5076
318	963	5077
319	967	5077
320	970	5075
321	973	5072
322	976	5069
323	979	5068
324	982	5065
325	985	5062
326	988	5059
327	991	5056
328	994	5053
329	997	5050
330	1001	5047
331	1003	5043
332	1006	5038
333	1009	5034
334	1014	5039
335	1016	5035
336	1019	5031
337	1022	5027
338	1025	5023
339	1028	5021
340	1031	5016
341	1033	5012
342	1036	5007
343	1039	5003
344	1042	4999
345	1045	4997
346	1048	4996
347	1051	4993
348	1054	4989
349	1058	4989
350	1061	4989
351	1065	4989
352	1069	4988
353	1072	4985
354	1075	4983
355	1081	4993
356	1087	5002
357	1090	5000
358	1093	4999
359	1096	4995
360	1099	4992
361	1102	4989
362	1105	4985
363	1108	4981
364	1111	4977
365	1114	4974
366	1117	4970
367	1119	4966
368	1122	4963
